car_id,car_make,car_model,car_year,car_mileage,car_price,car_transmission,car_driveTrain,car_vendor,car_location,car_engine
73553593,Subaru,Forester-25i-Limited,2014,60106,19479,Automatic,AWD,Fort Myers, FL 33966,2.50L H4
72207896,Hyundai,Tucson-GLS,2012,90397,12900,Automatic,AWD,Philadelphia, PA 19124,2.4L L4 DOHC 16V
72451047,Dodge,Durango-Limited,2016,29785,32995,A,AWD,Hamburg, PA 19526,3.60L V6
73644910,Hyundai,Santa-Fe-SE,2016,43469,17999,AUTOMATIC,AWD,Lake Worth, FL 33461,3.3 L
63304363,Chevrolet,Suburban-LS,2002,184600,6495,4-Speed Automatic,4WD,Bear, DE 19701,0.0 8 Cylinder Other
73854779,Hyundai,Santa-Fe-Sport-20T,2014,29398,24557,6-Speed Automatic,AWD,Marlton, NJ 08053,2.0 4 Cylinder Fuel Injected Turbo
66586652,Chrysler,Town-and-Country-Touring-Ed,2015,40912,16400,6-Speed Shiftable Automatic,FWD,Lake Park, FL 33403,3.6 6 Cylinder Fuel Injected
73704173,Toyota,Corolla-L,2016,41869,11999,VARIABLE,FWD,Lake Worth, FL 33461,1.8 L
73799050,Kia,Cadenza-Premium,2017,-1,35597,A,FWD,Bradenton, FL 34207,3.30L V6
72161543,Mazda,Cx-5-Grand-Touring,2016,28656,25988,A,AWD,State College, PA 16801,2.50L I4
71343297,BMW,3-Series-320i-Xdrive,2017,4027,34482,AUTOMATIC,AWD,Fairfax, VA 22031,2.0 L
73515843,Ford,Explorer-XLT,2013,69482,17920,6-Speed Shiftable Automatic,FWD,Turnersville, NJ 08012,3.5 6 Cylinder Fuel Injected
73437046,Toyota,Highlander,2005,125742,7163,A,FWD,Delray Beach, FL 33483,3.30L V6
73478443,Jeep,Grand-Cherokee-Limited,2014,32813,21999,AUTOMATIC,RWD,Lake Worth, FL 33461,3.6 L
73618114,Dodge,Avenger-SXT,2014,23786,14599,A,FWD,Newark, DE 19711,2.40L I4
71529264,Volkswagen,Passat-18T-SE,2016,42217,15400,Automatic,FWD,Ephrata, PA 17522,4 Cylinder 1.8L
73668413,Honda,Civic-LX,2014,32894,13599,Automatic,FWD,Midlothian, VA 23114,1.80L I4
69922246,Maserati,Ghibli-Base,2017,29,71999,,,Sarasota, FL 34233,
70901756,Chevrolet,Malibu-LT,2013,44554,12980,Automatic,FWD,Baltimore, MD 21215,2.5L L4 DOHC 16VCYL
73163131,Jaguar,XJR-LWB,2014,23174,62990,A,RWD,West Palm Beach, FL 33401,5.00L V8
73284173,Cadillac,SRX-Luxury-Collection,2013,33233,29999,Not Specified,AWD,Brandywine, MD 20613,3.6 6 Cylinder Fuel Injected
73180148,Ford,F150-Platinum,2015,31244,45875,A,4WD,Boyertown, PA 19512,3.50L V6
70605553,Hyundai,Santa-Fe-Sport-20T,2014,20869,24988,A,FWD,State College, PA 16801,2.00L I4
71728928,Jeep,Patriot-Sport,2015,42433,11999,AUTOMATIC,4WD,Lake Worth, FL 33461,2.4 L
72776280,Toyota,Tacoma-Prerunner,2013,40583,24998,A,RWD,Fort Myers, FL 33966,4.00L V6
73054601,FIAT,500L-Easy,2014,10786,14998,Automatic,FWD,Gaithersburg, MD 20877,1.40L I4
72749057,Volkswagen,Jetta-TDI,2015,22947,18984,Automatic,FWD,Woodbridge, VA 22191,4 Cyl. 2.0L
71851951,Mazda,MAZDA3-i-Sport,2014,39637,11889,6-Speed Automatic,FWD,Hagerstown, MD 21740,SKYACTIV®-G 2.0L 4-Cylinder DOHC 16V
72853338,Nissan,Versa-Note-Sv,2016,38883,12599,Automatic,FWD,Fort Myers, FL 33966,1.60L I4
73391462,Cadillac,Escalade-Platinum,2016,19407,69980,AUTOMATIC,RWD,Cape Coral, FL 33991,6.2L 8 cyl
73743792,Cadillac,SRX-Luxury-Collection,2015,16890,32995,Automatic,FWD,Fort Myers, FL 33907,3.6L
70867730,Ford,Mustang-EcoBoost-Premium,2016,21048,23995,Automatic,RWD,Boyertown, PA 19512,2.30L I4
73796929,Kia,Sorento-LX,2013,46082,15229,A,FWD,Sarasota, FL 34231,2.40L I4
71343283,BMW,4-Series-430i-xDrive-Gran-Coupe,2017,4292,42983,AUTOMATIC,AWD,Fairfax, VA 22031,2.0 L
72685539,Nissan,Murano-Platinum,2013,35929,24000,CVT,AWD,Turnersville, NJ 08012,3.5 6 Cylinder Fuel Injected
72022836,Mazda,MAZDA3-i-Sport,2015,15144,15494,Automatic,FWD,Fort Myers, FL 33912,2.0 L
73525084,Hyundai,Accent-GLS,2014,26095,11599,Automatic,FWD,Boynton Beach, FL 33426,1.60L I4
