site,car_id,car_descrip,car_make,car_model,car_trim,car_year,car_category,car_mileage,car_price,car_extColor,car_transmission,car_driveTrain,car_vendor,car_location,car_detail_link,car_img_link
carsDotCom,689905001,Used 2006 Lexus GS 300,Lexus,GS 300,null,2006,Used,97027,11895,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/689905001/overview/,https://www.cstatic-images.com/phototab/9/3/1/c0/96af5052f8039de3772eed11e47.jpg
carsDotCom,704780413,Used 2011 BMW 535 i,BMW,535,i,2011,Used,97609,16895,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704780413/overview/,https://www.cstatic-images.com/phototab/2/5/5/ed/b4371a309526fbd91dd52445da1.jpg
carsDotCom,702510762,Used 2010 Nissan Altima 2.5 S,Nissan,Altima,2.5 S,2010,Used,98501,8995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702510762/overview/,https://www.cstatic-images.com/phototab/1/3/0/30/8086040a701cb0e5c9cb2d3b101.jpg
carsDotCom,693039919,Used 2007 Toyota Prius Touring,Toyota,Prius,Touring,2007,Used,98809,8395,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/693039919/overview/,https://www.cstatic-images.com/phototab/6/d/d/51/3405cdf3507a902f757e5143b8.jpg
carsDotCom,703961276,Used 2007 Lexus LX 470,Lexus,LX 470,null,2007,Used,98975,25995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/703961276/overview/,https://www.cstatic-images.com/phototab/1/4/a/ab/23b03ddae8dcf1c749ce00f03d0.jpg
carsDotCom,704132346,Used 2011 Audi A8 L 4.2 quattro,Audi,A8,L 4.2 quattro,2011,Used,99955,23895,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704132346/overview/,https://www.cstatic-images.com/phototab/e/0/4/b1/d3b309b543dd19903f9f4206c63.jpg
carsDotCom,705286542,Used 2012 Acura TL Technology,Acura,TL,Technology,2012,Used,103463,15295,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705286542/overview/,https://www.cstatic-images.com/phototab/e/d/a/0d/f60723a882717ccbeb4447cb661.jpg
carsDotCom,705769292,Used 2012 Acura MDX 3.7L Technology,Acura,MDX,3.7L Technology,2012,Used,104105,17795,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705769292/overview/,https://www.cstatic-images.com/stock/400x300/265637.jpg
carsDotCom,704780200,Used 2011 BMW 328 i xDrive,BMW,328,i xDrive,2011,Used,106255,12195,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704780200/overview/,https://www.cstatic-images.com/phototab/8/d/b/43/69d4a33d7ef52475568138ed681.jpg
carsDotCom,699782095,Used 2010 Mercedes-Benz E 350,Mercedes-Benz,,E 350,2010,Used,107559,15695,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/699782095/overview/,https://www.cstatic-images.com/phototab/2/2/9/8f/4667c7c55fc57b664f9c909a754.jpg
carsDotCom,698298949,Used 2007 Lexus ES 350,Lexus,ES 350,null,2007,Used,108034,9995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/698298949/overview/,https://www.cstatic-images.com/phototab/5/2/c/67/cf022e76992661f4b423b46663d.jpg
carsDotCom,700544250,Used 1994 Mercedes-Benz E320 Cabriolet,Mercedes-Benz,,E320 Cabriolet,1994,Used,108092,15495,E Gr,Tan,4-Speed Automatic,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/700544250/overview/,https://www.cstatic-images.com/phototab/b/2/9/8b/0f3e40dfccae03b906559032f1a.jpg
carsDotCom,698505599,Used 2008 Mercedes-Benz C 300,Mercedes-Benz,,C 300,2008,Used,109980,10395,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/698505599/overview/,https://www.cstatic-images.com/phototab/8/e/1/85/ee5f27e5da9ac5f18a4ef12386b.jpg
carsDotCom,698701248,Used 2007 Lexus ES 350,Lexus,ES 350,null,2007,Used,110593,10995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/698701248/overview/,https://www.cstatic-images.com/phototab/1/0/1/f1/076ca0ba1d09bf1b14fc3848266.jpg
carsDotCom,704658449,Used 2008 Mercedes-Benz E 350 4MATIC,Mercedes-Benz,,E 350 4MATIC,2008,Used,115141,10695,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704658449/overview/,https://www.cstatic-images.com/phototab/a/3/f/61/ee577161af0629cf5af9c43877a.jpg
carsDotCom,699968814,Used 2005 Mercedes-Benz S430,Mercedes-Benz,,S430,2005,Used,117801,7295,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/699968814/overview/,https://www.cstatic-images.com/phototab/6/3/6/86/6d65246b8dbe0f8ed3ed8f676cf.jpg
carsDotCom,704606874,Used 2008 Lexus RX 350,Lexus,RX 350,null,2008,Used,118396,11895,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704606874/overview/,https://www.cstatic-images.com/phototab/6/3/3/4d/0432d55ee32eb15276640e3890d.jpg
carsDotCom,702638994,Used 2006 BMW 330 xi,BMW,330,xi,2006,Used,119820,8295,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702638994/overview/,https://www.cstatic-images.com/phototab/5/c/f/2b/d7e99ab1f991021089b2832f83b.jpg
carsDotCom,705286676,Used 2007 Honda Pilot EX-L,Honda,Pilot,EX-L,2007,Used,120234,10995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705286676/overview/,https://www.cstatic-images.com/phototab/1/5/e/5e/7ccedb55102b8b7c66825da9091.jpg
carsDotCom,696901992,Used 2011 Toyota RAV4 Limited,Toyota,RAV4,Limited,2011,Used,126635,12795,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/696901992/overview/,https://www.cstatic-images.com/phototab/6/7/5/26/6c15a12e00220383e29ba87fc9e.jpg
carsDotCom,704606862,Used 2011 Acura MDX 3.7L,Acura,MDX,3.7L,2011,Used,129231,14895,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704606862/overview/,https://www.cstatic-images.com/phototab/d/f/8/dd/92a6b56a175f21bdae2b9831e6b.jpg
carsDotCom,698909221,Used 2010 Mercedes-Benz E 350,Mercedes-Benz,,E 350,2010,Used,129993,14795,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/698909221/overview/,https://www.cstatic-images.com/phototab/7/3/d/aa/498fa2a6a77dff5c348902f6b13.jpg
carsDotCom,698982776,Used 2009 Toyota Camry XLE,Toyota,Camry,XLE,2009,Used,130213,8495,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/698982776/overview/,https://www.cstatic-images.com/phototab/f/d/f/d6/11987ed0f80f223fa3f6f8dc71e.jpg
carsDotCom,703960894,Used 2010 Acura RDX,Acura,RDX,null,2010,Used,137441,11695,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/703960894/overview/,https://www.cstatic-images.com/phototab/c/b/2/dc/e79a03ef4bf436ca300c629629b.jpg
carsDotCom,700115736,Used 2006 Toyota Tacoma PreRunner Double Cab,Toyota,Tacoma,PreRunner Double Cab,2006,Used,139353,11995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/700115736/overview/,https://www.cstatic-images.com/phototab/2/b/e/9b/a4286fa01ad178f273c6dc191af.jpg
carsDotCom,705100918,Used 2005 Nissan Maxima SE,Nissan,Maxima,SE,2005,Used,142808,5595,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705100918/overview/,https://www.cstatic-images.com/phototab/b/c/9/b3/72cd6fefdcdc713fa97bd2a8a27.jpg
carsDotCom,703730520,Used 2010 Toyota Camry LE,Toyota,Camry,LE,2010,Used,144873,7595,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/703730520/overview/,https://www.cstatic-images.com/phototab/f/f/5/2c/96f4e78d788ca17c139e4b8fb8a.jpg
carsDotCom,702024335,Used 2007 Jeep Wrangler Unlimited Sahara,Jeep,Wrangler,Unlimited Sahara,2007,Used,146861,13995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702024335/overview/,https://www.cstatic-images.com/phototab/a/0/4/6d/db0ed4ab2882e7a69a115eada2b.jpg
carsDotCom,705746834,Used 2000 Mercedes-Benz S430,Mercedes-Benz,,S430,2000,Used,154106,4995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705746834/overview/,https://www.cstatic-images.com/stock/400x300/132289.jpg
carsDotCom,700544137,Used 2004 Acura TSX Navigation,Acura,TSX,Navigation,2004,Used,154617,5995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/700544137/overview/,https://www.cstatic-images.com/phototab/b/d/9/c6/c2eb95ef83cd18d89cd54b29135.jpg
carsDotCom,696952757,Used 2006 Volkswagen Touareg V8,Volkswagen,Touareg,V8,2006,Used,159786,5595,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/696952757/overview/,https://www.cstatic-images.com/phototab/4/2/9/0d/6929028cedea49ec1896245d4e2.jpg
carsDotCom,705171565,Used 2004 Lexus RX 330,Lexus,RX 330,null,2004,Used,163451,7395,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705171565/overview/,https://www.cstatic-images.com/phototab/6/d/d/1c/3cd7feb03b5f6d41f1aaa240465.jpg
carsDotCom,704731727,Used 2005 Honda Odyssey EX,Honda,Odyssey,EX,2005,Used,178787,3795,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704731727/overview/,https://www.cstatic-images.com/phototab/1/f/7/22/c4e38419b6e9fb6d2fc9997f7aa.jpg
carsDotCom,696787970,Used 2007 Toyota Camry Hybrid,Toyota,Camry Hybrid,null,2007,Used,190340,5995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/696787970/overview/,https://www.cstatic-images.com/phototab/2/d/e/fc/f65eea645c56679ef7b01b3d401.jpg
carsDotCom,697067549,Used 2004 BMW X3 2.5i,BMW,X3,2.5i,2004,Used,192308,4995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/697067549/overview/,https://www.cstatic-images.com/phototab/6/5/f/36/588d67de79ded6d7e679b48fc41.jpg
carsDotCom,699645193,Used 2004 Toyota Tundra SR5,Toyota,Tundra,SR5,2004,Used,197889,7495,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/699645193/overview/,https://www.cstatic-images.com/phototab/d/4/9/b7/5aecae98c7c9f8e37ed8d5dd28a.jpg
carsDotCom,705076119,Used 2004 INFINITI G35 Sports Coupe,INFINITI,G35,Sports Coupe,2004,Used,200400,3895,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705076119/overview/,https://www.cstatic-images.com/phototab/3/e/c/25/fb4a50dd882494aa6a00bcca399.jpg
carsDotCom,701352730,Used 2004 Ford Expedition Eddie Bauer,Ford,Expedition,Eddie Bauer,2004,Used,291531,3995,,,,WBM of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/701352730/overview/,https://www.cstatic-images.com/phototab/e/e/3/d1/dca31f958fa75db9cfb65fa5d7c.jpg
carsDotCom,701749943,Used 1959 Triumph TR3,Triumph,TR3,null,1959,Used,0,24900,,,,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/701749943/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2603974880.jpg
carsDotCom,688021120,Used 2016 Ford Focus RS Base,Ford,Focus RS,Base,2016,Used,17,39900,,,,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/688021120/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2407161483.jpg
carsDotCom,704025222,Used 1969 Jaguar XKE,Jaguar,XKE,null,1969,Used,7863,59900,Blue,Leather,4 Speed,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/704025222/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2637037323.jpg
carsDotCom,692820653,Used 1969 Ford Mustang,Ford,Mustang,null,1969,Used,13646,59900,,,,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/692820653/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2474375883.jpg
carsDotCom,692820476,Used 2005 Ford Thunderbird,Ford,Thunderbird,null,2005,Used,15943,19900,,,,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/692820476/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2474355230.jpg
carsDotCom,703972359,Used 1965 Ford Mustang,Ford,Mustang,null,1965,Used,21027,21900,Red,Vinyl,Automatic,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/703972359/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2636369718.jpg
carsDotCom,701719981,Used 1969 Mercedes-Benz 280SL,Mercedes-Benz,280SL,null,1969,Used,21386,79900,,,,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/701719981/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2603755662.jpg
carsDotCom,687498298,Used 1995 Ferrari F355,Ferrari,F355,null,1995,Used,23790,79900,,,,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/687498298/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2399960681.jpg
carsDotCom,701201840,Used 1966 MG MGB,MG,MGB,null,1966,Used,35960,14900,,,,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/701201840/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2595741040.jpg
carsDotCom,690592234,Used 2009 Mercedes-Benz G 55 AMG 4MATIC,Mercedes-Benz,,G 55 AMG 4MATIC,2009,Used,43377,64900,White,Black,5 speed automatic,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/690592234/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2441629422.jpg
carsDotCom,700441612,Used 1969 Chevrolet Corvette,Chevrolet,Corvette,null,1969,Used,43430,51900,,,,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/700441612/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2584777358.jpg
carsDotCom,701201873,Used 1986 Porsche 944,Porsche,944,null,1986,Used,46322,3900,,,,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/701201873/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2595744324.jpg
carsDotCom,704044572,Used 1949 Citroen Legere,Citroen,Legere,null,1949,Used,64206,29000,Black,Cloth,3 Speed,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/704044572/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2637699770.jpg
carsDotCom,705249688,Used 1969 Mercedes-Benz 280SL,Mercedes-Benz,280SL,null,1969,Used,79029,134900,,,,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/705249688/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2656123448.jpg
carsDotCom,698447919,Used 1999 Chevrolet Corvette,Chevrolet,Corvette,null,1999,Used,81746,15900,,,,Classic Motors of Washington DC,Washington, DC,https://www.cars.com/vehicledetail/detail/698447919/overview/,https://www.cstatic-images.com/phototab/MDC/57/7688257/2554866694.jpg
carsDotCom,703511971,Used 1999 BMW 528 i,BMW,528,i,1999,Used,122292,1250,,,,Stacy (Private Seller),Hyattsville, MD,https://www.cars.com/vehicledetail/detail/703511971/overview/,https://www.cstatic-images.com/phototab/SIY/76/11868376.1496359996424.D85EEDAC9E9A4BFA986085FB78E51F36.JPG
carsDotCom,684909908,Used 2016 Porsche Cayenne V6,Porsche,Cayenne,V6,2016,Used,2441,61193,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/684909908/overview/,https://www.cstatic-images.com/phototab/c/5/e/32/663457a933417ce03de38569493.jpg
carsDotCom,684404175,Used 2016 Porsche Cayenne V6,Porsche,Cayenne,V6,2016,Used,2839,61193,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/684404175/overview/,https://www.cstatic-images.com/phototab/1/b/4/ca/f975a8534adb919256b8929fb59.jpg
carsDotCom,702333490,Used 2016 MINI Clubman Cooper,MINI,Clubman,Cooper,2016,Used,3239,23893,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702333490/overview/,https://www.cstatic-images.com/phototab/4/b/8/b3/ecdd96e0bbe064c7e0fe4a5fb06.jpg
carsDotCom,703833308,Used 2017 Porsche 911 Carrera S,Porsche,911,Carrera S,2017,Used,3467,117882,Gt Silver Metallic,Black,RWD,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/703833308/overview/,https://www.cstatic-images.com/phototab/b/d/8/ce/a1f35f7f1015ae0ebb564efb111.jpg
carsDotCom,701005081,Certified 2017 Porsche Macan Base,Porsche,Macan,Base,2017,Used,3599,49884,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/701005081/overview/,https://www.cstatic-images.com/phototab/a/6/5/a6/8acbbff87da4802bf4f0f48ebd0.jpg
carsDotCom,701005168,Certified 2017 Porsche Macan Base,Porsche,Macan,Base,2017,Used,4157,49884,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/701005168/overview/,https://www.cstatic-images.com/phototab/4/8/d/51/ae22351001639504ab021a6fb3d.jpg
carsDotCom,697941672,Used 2017 Porsche Macan Base,Porsche,Macan,Base,2017,Used,6597,48971,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/697941672/overview/,https://www.cstatic-images.com/phototab/5/2/7/86/2eb06c180fa3adcc6d2029ac228.jpg
carsDotCom,697942181,Used 2017 Porsche Macan Base,Porsche,Macan,Base,2017,Used,6620,48971,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/697942181/overview/,https://www.cstatic-images.com/phototab/7/a/f/f9/dd18656b2645fe50e3f6acfb2d7.jpg
carsDotCom,702487881,Certified 2015 Porsche 911 GT3,Porsche,911,GT3,2015,Used,7226,149993,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702487881/overview/,https://www.cstatic-images.com/phototab/8/7/e/4f/6f5f62e0ca483df5ba132356ec3.jpg
carsDotCom,702110143,Used 2015 Porsche 911 4S,Porsche,911,4S,2015,Used,7717,96883,Rhodium Silver Metallic,Black,AWD,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702110143/overview/,https://www.cstatic-images.com/phototab/1/f/c/0e/989de506fd9f2ab9029295fef4b.jpg
carsDotCom,705499841,Used 2015 Porsche Panamera 4S,Porsche,Panamera,4S,2015,Used,8305,78991,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705499841/overview/,https://www.cstatic-graphics.com/search/images/ghostVehicleLarge.jpg
carsDotCom,704294099,Used 2014 Porsche 911 Carrera,Porsche,911,Carrera,2014,Used,9460,79451,White,Carrera Red,RWD,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704294099/overview/,https://www.cstatic-images.com/phototab/f/c/6/31/d33cbc981610b09d6f9fc9702f6.jpg
carsDotCom,704821718,Used 2015 Porsche 911 Turbo,Porsche,911,Turbo,2015,Used,9975,139981,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704821718/overview/,https://www.cstatic-graphics.com/search/images/ghostVehicleLarge.jpg
carsDotCom,700776749,Certified 2014 Porsche Panamera Turbo Executive,Porsche,Panamera,Turbo Executive,2014,Used,12336,95975,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/700776749/overview/,https://www.cstatic-images.com/phototab/6/9/7/dc/b54c1758d5a237f28d898d8cea8.jpg
carsDotCom,705499259,Used 2015 Porsche 911 Cabriolet,Porsche,911,Cabriolet,2015,Used,13569,84771,Dark Blue Metallic,Black/Luxor Beige,RWD,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705499259/overview/,https://www.cstatic-graphics.com/search/images/ghostVehicleLarge.jpg
carsDotCom,705729856,Used 2015 Porsche 911 GTS,Porsche,911,GTS,2015,Used,14566,113491,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705729856/overview/,https://www.cstatic-graphics.com/search/images/ghostVehicleLarge.jpg
carsDotCom,702851804,Used 2013 Tesla Model S 60,Tesla,Model S,60,2013,Used,14772,54693,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702851804/overview/,https://www.cstatic-images.com/phototab/d/8/a/4f/a51621fe7a07253570893a03c20.jpg
carsDotCom,701302396,Used 2015 Toyota RAV4 Limited,Toyota,RAV4,Limited,2015,Used,14971,22984,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/701302396/overview/,https://www.cstatic-images.com/phototab/c/8/e/4a/96ae02990426aa328069d1b3508.jpg
carsDotCom,703511838,Used 2014 Porsche Cayman S,Porsche,Cayman,S,2014,Used,15410,57482,Black,Black,RWD,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/703511838/overview/,https://www.cstatic-images.com/phototab/7/a/6/ef/edba0fd205c755447dae6b0f86c.jpg
carsDotCom,705495598,Used 2014 Porsche Cayman Base,Porsche,Cayman,Base,2014,Used,15868,46491,Rhodium Silver Metallic,Black,RWD,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705495598/overview/,https://www.cstatic-graphics.com/search/images/ghostVehicleLarge.jpg
carsDotCom,704032067,Used 2014 BMW i3 Base,BMW,i3,Base,2014,Used,16057,19381,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704032067/overview/,https://www.cstatic-images.com/phototab/e/b/e/72/39e9cdb81114df129ecef7d7c8a.jpg
carsDotCom,702222788,Used 2015 Porsche Panamera 4,Porsche,Panamera,4,2015,Used,20266,59673,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702222788/overview/,https://www.cstatic-images.com/phototab/a/0/0/51/8a9e5329a788198de0bd298622e.jpg
carsDotCom,701717403,Used 2014 Mercedes-Benz CLS550,Mercedes-Benz,,CLS550,2014,Used,20339,45883,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/701717403/overview/,https://www.cstatic-images.com/phototab/e/8/0/32/543556d5843e7ee0aefda831aa3.jpg
carsDotCom,703929111,Used 2012 McLaren MP4-12C Base,McLaren,MP4-12C,Base,2012,Used,21365,132492,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/703929111/overview/,https://www.cstatic-images.com/phototab/b/2/c/3f/4249e98f893d8e4fc7f14132612.jpg
carsDotCom,704822007,Used 2015 Porsche Boxster Base,Porsche,Boxster,Base,2015,Used,21885,47721,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704822007/overview/,https://www.cstatic-graphics.com/search/images/ghostVehicleLarge.jpg
carsDotCom,701374767,Used 2015 Porsche Cayenne S E-Hybrid,Porsche,Cayenne,S E-Hybrid,2015,Used,21994,61444,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/701374767/overview/,https://www.cstatic-images.com/phototab/c/c/4/11/9b35f1ba1fab4d7ae44e7ef3146.jpg
carsDotCom,705491024,Used 2015 Ferrari California Convertible,Ferrari,California,Convertible,2015,Used,22590,163491,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705491024/overview/,https://www.cstatic-images.com/phototab/2/0/a/ca/9296a06ebcd2389f11ec0ad9dd1.jpg
carsDotCom,695136880,Used 2015 Porsche Macan S,Porsche,Macan,S,2015,Used,22700,48775,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/695136880/overview/,https://www.cstatic-images.com/phototab/6/4/f/77/fe0782e9b44133e5920da6d0fe9.jpg
carsDotCom,705716559,Used 2014 Maserati Ghibli Base,Maserati,Ghibli,Base,2014,Used,23477,43791,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705716559/overview/,https://www.cstatic-graphics.com/search/images/ghostVehicleLarge.jpg
carsDotCom,705499744,Used 2016 Porsche Cayman S,Porsche,Cayman,S,2016,Used,23880,64991,Agate Gray Metallic,Black,RWD,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705499744/overview/,https://www.cstatic-graphics.com/search/images/ghostVehicleLarge.jpg
carsDotCom,704827697,Used 2015 Porsche Macan Turbo,Porsche,Macan,Turbo,2015,Used,23901,65471,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704827697/overview/,https://www.cstatic-graphics.com/search/images/ghostVehicleLarge.jpg
carsDotCom,699682831,Used 2014 Porsche Panamera 4,Porsche,Panamera,4,2014,Used,24921,53885,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/699682831/overview/,https://www.cstatic-images.com/phototab/d/b/7/ef/f9b018c1712dcb9121083daad84.jpg
carsDotCom,700216142,Used 2015 Lexus NX 200t Base,Lexus,NX 200t,Base,2015,Used,25830,30875,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/700216142/overview/,https://www.cstatic-images.com/phototab/2/9/2/75/f416cd177370510e74b07910f42.jpg
carsDotCom,699682830,Used 2014 Porsche Panamera Turbo Executive,Porsche,Panamera,Turbo Executive,2014,Used,26466,88993,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/699682830/overview/,https://www.cstatic-images.com/phototab/9/f/a/72/fb3420f8039b43b43ad3af12016.jpg
carsDotCom,700998378,Used 2015 BMW Z4 sDrive28i,BMW,Z4,sDrive28i,2015,Used,28030,31974,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/700998378/overview/,https://www.cstatic-images.com/phototab/f/1/3/1f/a45f6058afab35d532857bb130e.jpg
carsDotCom,702222555,Used 2014 Porsche Cayenne S,Porsche,Cayenne,S,2014,Used,28234,47993,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/702222555/overview/,https://www.cstatic-images.com/phototab/2/b/f/73/14b737c56b587a81a5103c5daa1.jpg
carsDotCom,701611849,Used 2014 Porsche Panamera S e-Hybrid,Porsche,Panamera,S e-Hybrid,2014,Used,28409,56293,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/701611849/overview/,https://www.cstatic-images.com/phototab/d/a/0/d1/5320a6881585ef06e05583a488c.jpg
carsDotCom,704243222,Used 2014 Porsche Panamera 4,Porsche,Panamera,4,2014,Used,29952,54491,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/704243222/overview/,https://www.cstatic-images.com/phototab/b/2/b/11/8788f345d5e0f2a5d59069dfdc9.jpg
carsDotCom,705499859,Used 2014 Porsche Panamera 2,Porsche,Panamera,2,2014,Used,31898,53881,,,,Porsche of Arlington,Arlington, VA,https://www.cars.com/vehicledetail/detail/705499859/overview/,https://www.cstatic-graphics.com/search/images/ghostVehicleLarge.jpg
